icao,site,observed_utc,observed_local,flight_category,temp_c,dewpoint_c,wind_dir_deg,wind_kts,gust_kts,vis_sm,altimeter_hpa,raw_text,fetched_at_utc,fetched_at_local,site_name,site_lat,site_lon,country,region
KAFN,"Jaffrey Muni, NH, US",2025-10-03T18:52:00Z,2025-10-03 14:52:00,VFR,22.2,5.6,VAR,4,0,NA,1023.8,METAR KAFN 031852Z AUTO VRB04KT 10SM CLR 22/06 A3023 RMK AO2 SLP243 T02220056,2025-10-03T18:58:26Z,2025-10-03T14:58:26Z,Jaffrey Airfield Silver Ranch Airport,42.805099,-72.002998,US,US-NH
KAFO,"Afton Muni, WY, US",2025-10-03T17:55:00Z,2025-10-03 11:55:00,VFR,12,9,90,5,0,NA,1019.4,METAR KAFO 031755Z AUTO 09005KT 10SM -RA SCT031 BKN060 OVC090 12/09 A3010 RMK AO2,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Afton Municipal Airport,42.7112007141,-110.942001343,US,US-WY
KAFO,"Afton Muni, WY, US",2025-10-03T18:15:00Z,2025-10-03 12:15:00,VFR,15,7,220,4,0,NA,1018.7,METAR KAFO 031815Z AUTO 22004KT 10SM SCT070 SCT090 15/07 A3008 RMK AO2 LTG DSNT E,2025-10-03T18:21:36Z,2025-10-03T14:21:36Z,Afton Municipal Airport,42.7112007141,-110.942001343,US,US-WY
KAFO,"Afton Muni, WY, US",2025-10-03T18:35:00Z,2025-10-03 12:35:00,VFR,14,7,0,0,0,NA,1018.4,METAR KAFO 031835Z AUTO 00000KT 10SM CLR 14/07 A3007 RMK AO2,2025-10-03T18:47:05Z,2025-10-03T14:47:05Z,Afton Municipal Airport,42.7112007141,-110.942001343,US,US-WY
KAFO,"Afton Muni, WY, US",2025-10-03T18:55:00Z,2025-10-03 12:55:00,VFR,14,7,0,0,0,NA,1018.4,METAR KAFO 031855Z AUTO 00000KT 10SM BKN120 14/07 A3007 RMK AO2,2025-10-03T18:58:26Z,2025-10-03T14:58:26Z,Afton Municipal Airport,42.7112007141,-110.942001343,US,US-WY
KAFP,"Wadesboro/Anson Cnty, NC, US",2025-10-03T18:00:00Z,2025-10-03 18:00:00,MVFR,22.6,11.8,30,6,0,5,1026.5,METAR KAFP 031800Z AUTO 03006KT 5SM HZ CLR 23/12 A3031 RMK AO2 T02260118,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Anson County Airport - Jeff Cloud Field,35.020599,-80.077103,US,US-NC
KAFP,"Wadesboro/Anson Cnty, NC, US",2025-10-03T18:20:00Z,2025-10-03 18:20:00,MVFR,23.1,11.8,30,3,0,5,1025.8,METAR KAFP 031820Z AUTO 03003KT 5SM HZ CLR 23/12 A3029 RMK AO2 T02310118,2025-10-03T18:21:36Z,2025-10-03T14:21:36Z,Anson County Airport - Jeff Cloud Field,35.020599,-80.077103,US,US-NC
KAFP,"Wadesboro/Anson Cnty, NC, US",2025-10-03T18:40:00Z,2025-10-03 18:40:00,MVFR,23.3,12.2,40,3,0,5,1025.8,METAR KAFP 031840Z AUTO 04003KT 5SM HZ SCT039 23/12 A3029 RMK AO2 T02330122,2025-10-03T18:47:05Z,2025-10-03T14:47:05Z,Anson County Airport - Jeff Cloud Field,35.020599,-80.077103,US,US-NC
KAFP,"Wadesboro/Anson Cnty, NC, US",2025-10-03T18:50:00Z,2025-10-03 18:50:00,MVFR,23.9,12.2,0,0,0,3,1025.8,METAR KAFP 031850Z AUTO 00000KT 3SM HZ SCT039 24/12 A3029 RMK AO2 T02390122,2025-10-03T18:58:26Z,2025-10-03T14:58:26Z,Anson County Airport - Jeff Cloud Field,35.020599,-80.077103,US,US-NC
KAFW,"Fort Worth/Alliance Arpt, TX, US",2025-10-03T17:53:00Z,2025-10-03 12:53:00,VFR,31.1,16.7,170,4,0,NA,1020.7,METAR KAFW 031753Z 17004KT 10SM FEW050 31/17 A3014 RMK AO2 SLP190 T03110167 10317 20206 58008 $,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Perot Field/Fort Worth Alliance Airport,32.99044,-97.31947,US,US-TX
