"icao","site","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","wind_dir_deg","wind_kts","gust_kts","vis_sm","altimeter_hpa","raw_text","fetched_at_utc","fetched_at_local"
"PAJN","Juneau Intl, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",9.4,8.3,80,6,NA,NA,1016,"METAR PAJN 240253Z 08006KT 10SM -RA FEW007 BKN037 OVC045 09/08 A3000 RMK AO2 SLP158 P0002 60007 T00940083 53004 $",2025-09-24 03:46:21.35244,2025-09-23 23:46:21.352487
"PAKW","Klawock Arpt, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",12.8,8.9,180,6,NA,NA,1019.7,"METAR PAKW 240253Z AUTO 18006KT 10SM -RA SCT028 BKN060 BKN075 13/09 A3011 RMK AO2 RAB08E17B49 SLP197 P0000 60000 T01280089 53003 TSNO",2025-09-24 03:46:21.35932,2025-09-23 23:46:21.359366
"PAMR","Anchorage/Merrill Fld, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",6.7,2.8,340,5,NA,NA,1001.1,"METAR PAMR 240253Z 34005KT 10SM BKN075 07/03 A2956 RMK AO2 SLP013 T00670028 58005",2025-09-24 03:46:21.365735,2025-09-23 23:46:21.365779
"PANC","Anchorage Intl, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",6.1,3.3,360,3,NA,NA,1001.1,"METAR PANC 240253Z 36003KT 10SM BKN037 06/03 A2956 RMK AO2 SLP011 T00610033 58008",2025-09-24 03:46:21.372211,2025-09-23 23:46:21.372255
"PAOM","Nome Arpt, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",6.1,0,80,3,NA,NA,999.4,"METAR PAOM 240253Z 08003KT 10SM SCT032 06/00 A2951 RMK AO2 RAE37 SLP993 P0000 60000 T00610000 56008",2025-09-24 03:46:21.378663,2025-09-23 23:46:21.378707
"PAKV","Kaltag Arpt, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",5.6,-4.4,40,5,NA,NA,1000.8,"METAR PAKV 240253Z AUTO 04005KT 10SM OVC055 06/M04 A2955 RMK AO2 SLP010 T00561044 56013 TSNO $",2025-09-24 03:46:21.38507,2025-09-23 23:46:21.385133
"PAQT","Nuiqsut Arpt, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",3.3,-1.1,250,5,NA,NA,1001.8,"METAR PAQT 240253Z AUTO 25005KT 10SM OVC036 03/M01 A2958 RMK AO2 SLP018 60000 T00331011 58003 TSNO $",2025-09-24 03:46:21.391501,2025-09-23 23:46:21.391545
"PASC","Deadhorse Arpt, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","MVFR",1.1,0,240,4,NA,NA,1001.4,"METAR PASC 240253Z AUTO 24004KT 10SM BKN021 BKN042 OVC100 01/00 A2957 RMK AO2 SLP013 T00110000 56005 TSNO $",2025-09-24 03:46:21.397839,2025-09-23 23:46:21.397884
"PASI","Sitka/Gutierrez Arpt, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",12.2,8.3,150,8,NA,8,1017,"METAR PASI 240253Z 15008KT 8SM SCT024 BKN050 OVC080 12/08 A3003 RMK AO2 RAE04B43E53 SLP169 P0000 60010 T01220083 53001",2025-09-24 03:46:21.404221,2025-09-23 23:46:21.404275
"PATK","Talkeetna Arpt, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",5.6,5,310,3,NA,NA,1001.4,"METAR PATK 240253Z AUTO 31003KT 10SM OVC038 06/05 A2957 RMK AO2 SLP016 60008 T00560050 55008 TSNO $",2025-09-24 03:46:21.410592,2025-09-23 23:46:21.410637
"PASO","Seldovia Arpt, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",7.2,3.9,180,5,NA,NA,999.7,"METAR PASO 240253Z AUTO 18005KT 10SM FEW030 07/04 A2952 RMK AO2 RAB07E32 SLP998 P0000 60000 T00720039 58021 TSNO $",2025-09-24 03:46:21.416955,2025-09-23 23:46:21.416997
"PHLI","Lihue Arpt, HI, US",2025-09-24 02:53:00,"2025-09-23 16:53:00","VFR",27.8,20.6,40,13,NA,NA,1015.3,"METAR PHLI 240253Z 04013KT 10SM FEW065 28/21 A2998 RMK AO2 SLP148 T02780206 55007",2025-09-24 03:46:21.423332,2025-09-23 23:46:21.423376
"PAOR","Northway Arpt, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",7.8,1.7,0,0,NA,NA,1001.1,"METAR PAOR 240253Z AUTO 00000KT 10SM BKN120 08/02 A2956 RMK AO2 SLP026 6//// T00780017 58016 TSNO PNO $",2025-09-24 03:46:21.429697,2025-09-23 23:46:21.429741
"PANN","Nenana Muni, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",3.9,-2.8,30,4,NA,NA,1000.8,"METAR PANN 240253Z AUTO 03004KT 10SM OVC044 04/M03 A2955 RMK AO2 SLP013 T00391028 58020 TSNO $",2025-09-24 03:46:21.436064,2025-09-23 23:46:21.436126
"PAYA","Yakutat Arpt, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",10,8.3,90,8,NA,NA,1009.9,"METAR PAYA 240253Z AUTO 09008KT 10SM SCT021 BKN038 BKN050 10/08 A2982 RMK AO2 SLP099 T01000083 55001 TSNO",2025-09-24 03:46:21.442415,2025-09-23 23:46:21.442458
"PATA","Tanana/Calhoun Mem, AK, US",2025-09-24 02:52:00,"2025-09-23 18:52:00","VFR",3.9,-1.7,NA,4,NA,NA,1001.8,"METAR PATA 240252Z VRB04KT 10SM BKN050 04/M02 A2958 RMK AO2 SLPNO T00391017 56013 $",2025-09-24 03:46:21.448912,2025-09-23 23:46:21.448955
"PHBK","Kekaha/Barking Sands Arpt, HI, US",2025-09-24 02:51:00,"2025-09-23 16:51:00","VFR",30,18.9,220,6,NA,NA,1013.6,"METAR PHBK 240251Z AUTO 22006KT 10SM BKN065 30/19 A2993 RMK AO2 SLP137 T03000189 55008 $",2025-09-24 03:46:21.455382,2025-09-23 23:46:21.455428
