"icao","site","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","wind_dir_deg","wind_kts","gust_kts","vis_sm","altimeter_hpa","raw_text","fetched_at_utc","fetched_at_local"
"CYBG","Bagotville, QC, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","VFR",3,0,90,9,NA,25,1011.9,"METAR CYBG 031300Z 09009KT 25SM SCT040 BKN210 03/M00 A2988 RMK SC3CI3 DENSITY ALT -726FT SLP125",2025-11-03 13:28:57.82464,2025-11-03 08:28:57.824677
"CYLU","Kangiksualujjuaq Arpt, QC, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","VFR",0,-4,120,11,NA,15,1001.8,"METAR CYLU 031300Z 12011KT 15SM BKN042 OVC160 00/M04 A2958 RMK SC7AC1 SLP024",2025-11-03 13:28:57.830669,2025-11-03 08:28:57.830704
"CYBU","Nipawin, SK, CA",2025-11-03 13:00:00,"2025-11-03 13:00:00","VFR",2,-5,240,14,19,9,1009.2,"METAR CYBU 031300Z AUTO 24014G19KT 9SM CLR 02/M05 A2980 RMK SLP109",2025-11-03 13:28:57.836636,2025-11-03 08:28:57.836672
"CYDN","Dauphin Arpt, MB, CA",2025-11-03 13:00:00,"2025-11-03 07:00:00","VFR",3,-6,280,18,26,9,1010.9,"METAR CYDN 031300Z AUTO 28018G26KT 9SM CLR 03/M06 A2985 RMK SLP121",2025-11-03 13:28:57.842599,2025-11-03 08:28:57.842634
"CYGW","Kuujjuarapik Arpt, QC, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","MVFR",5,3,160,13,19,9,984.5,"METAR CYGW 031300Z AUTO 16013G19KT 9SM OVC015 05/03 A2907 RMK SLP847",2025-11-03 13:28:57.848763,2025-11-03 08:28:57.848801
"CYHU","Montreal/St Hubert, QC, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","VFR",7,3,190,10,17,9,1015.7,"METAR CYHU 031300Z AUTO 19010G17KT 9SM SCT055 OVC070 07/03 A2999 RMK SLP157",2025-11-03 13:28:57.854814,2025-11-03 08:28:57.85485
"CYIV","Island Lake Arpt, MB, CA",2025-11-03 13:00:00,"2025-11-03 07:00:00","VFR",3,-1,270,11,18,9,999.1,"METAR CYIV 031300Z AUTO 27011G18KT 9SM CLR 03/M01 A2950 RMK SLP002",2025-11-03 13:28:57.860837,2025-11-03 08:28:57.860876
"CYUX","Hall Beach Arpt, NU, CA",2025-11-03 13:22:00,"2025-11-03 08:22:00","MVFR",-2,-2,130,20,NA,8,994.3,"SPECI CYUX 031322Z 13020KT 8SM -SN DRSN SCT009 OVC029 M02/M02 A2936 RMK ST3SC5 SLP945",2025-11-03 13:28:59.98265,2025-11-03 08:28:59.982687
"CYPO","Peawanuck Arpt, ON, CA",2025-11-03 13:22:00,"2025-11-03 08:22:00","MVFR",0,0,280,8,NA,3,985.5,"SPECI CYPO 031322Z AUTO 28008KT 3SM -SN SCT006 OVC012 00/00 A2910 RMK SLP859",2025-11-03 13:28:59.988879,2025-11-03 08:28:59.988916
"CYQG","Windsor Intl, ON, CA",2025-11-03 13:22:00,"2025-11-03 08:22:00","VFR",7,2,230,18,24,9,1015,"SPECI CYQG 031322Z AUTO 23018G24KT 9SM -RA OVC091 07/02 A2997 RMK PRESFR SLP154",2025-11-03 13:28:59.994887,2025-11-03 08:28:59.994932
